Name,Year Span,Genre,Run Time,Ratings,Votes
The Defenders,(2017),"Action, Adventure, Crime",50 min,7.2,
Big Little Lies,(2017–2019),"Crime, Drama, Mystery",60 min,8.5,
Insatiable,(2018–2019),"Comedy, Drama, Thriller",45 min,6.5,
The Mentalist,(2008–2015),"Crime, Drama, Mystery",43 min,8.2,
The Crown,(2016–2023),"Biography, Drama, History",58 min,8.6,
Chernobyl,(2019),"Drama, History, Thriller",330 min,9.3,
iZombie,(2015–2019),"Comedy, Crime, Drama",42 min,7.8,
Reign,(2013–2017),Drama,42 min,7.5,
A Series of Unfortunate Events,(2017–2019),"Adventure, Comedy, Drama",50 min,7.8,
Criminal Minds,(2005– ),"Crime, Drama, Mystery",42 min,8.1,
Scream: The TV Series,(2015–2019),"Comedy, Crime, Drama",45 min,7,
The Haunting of Hill House,(2018),"Drama, Horror, Mystery",572 min,8.6,
