Brand Name,Name of the Product,Rating,No. of Ratings,Price,Return/Exchange,Expected Delivery,Availability,Product URL
Visit the Intern Store,Intern 38C Ebony Wood Cutaway Design Acoustic Guitar with Picks And Carry Bag (Black),3.9 out of 5,"2,587 ratings","2,089",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-38-inch-Cutaway-Design-Acoustic/dp/B07X4PN85R/ref=sr_1_13?keywords=guitar&qid=1693750407&sr=8-13
Visit the Intern Store,"Intern INT-38C-VT-G 38 Incheses Cutaway Right HAnded lindenwood Acoustic Guitar Kit, With Bag, Strings, Pick And Strap (Violet, 6-Strings)",4 out of 5,"1,685 ratings","2,279",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Intern-INT-38C-VT-G-Guitar-Kit-Violet/dp/B07K8YJXKL/ref=sr_1_14?keywords=guitar&qid=1693750407&sr=8-14
Visit the JUAREZ Store,"Juârez JRZ38C/ZEB 6 Strings Acoustic Guitar 38 Inch Cutaway, Right Handed, Zebrawood with Bag, Strings, Picks and Strap",3.9 out of 5,"5,549 ratings","2,949",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Juarez-Strings-Acoustic-Cutaway-Zebrawood/dp/B072Q9L8DG/ref=sr_1_15?keywords=guitar&qid=1693750407&sr=8-15
Visit the Kadence Store,"Kadence rosewood Guitar Frontier Series, Electric Acoustic Black Guitar With EQ, Die Cast Keys, Set Of Strings, Strap, Picks And Bag (Black EQ, Electric Acoustic)",4 out of 5,"1,083 ratings","4,999",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Guitar-Strings/dp/B078GTJP5Y/ref=sr_1_16?keywords=guitar&qid=1693750407&sr=8-16
Visit the YAMAHA Store,"Yamaha F280 Acoustic wood Guitar, Tobacco own Sunburst With Bajaao Gig bag",4.4 out of 5,208 ratings,"8,499",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/Yamaha-Acoustic-Tobacco-Sunburst-Bajaao/dp/B09PBDGD82/ref=sr_1_17?keywords=guitar&qid=1693750407&sr=8-17
Brand: AUREUS,AUREUS 4 String Acoustic Guitar Musical Instrument Educational Small Guitar for Beginners Kids Children,-,-,999,7 days Replacement,"Saturday, 9 September",In stock,https://www.amazon.in/AUREUS-Acoustic-Instrument-Educational-Beginners/dp/B09W12QFQD/ref=sr_1_18?keywords=guitar&qid=1693750407&sr=8-18
Visit the Intern Store,Intern INT-38C Acoustic Guitar Kit (Blue),4 out of 5,"13,412 ratings","2,299",Pay on Delivery,"Friday, 8 September",-,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_19?keywords=guitar&qid=1693750407&sr=8-19
Visit the YAMAHA Store,"Yamaha FS100C Acoustic Guitar, Black",4.5 out of 5,394 ratings,"10,490",Pay on Delivery,"Friday, 8 September",In stock,https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_20?keywords=guitar&qid=1693750407&sr=8-20
Visit the Kadence Store,"Kadence Frontier guitar with Online Guitar learning course , Wine Red Acoustic Guitar with Die Cast Keys, Set of Strings, Strap, Picks and Bag (Wine Red, Acoustic)",3.9 out of 5,"2,957 ratings","4,999",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg0MDk3ODIzNjIxNjEwOjE2OTM3NTA0MDc6c3BfbXRmOjIwMDk2NjA4NzUwNDk4OjowOjo&url=%2FKadence-Frontier-Acoustic-Guitar-Strings%2Fdp%2FB01GDZ46AA%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dguitar%26qid%3D1693750407%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Brand: Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Pink (Combo, Strings,Bag,Picks and guitar course)",5 out of 5,2 ratings,"2,499",Pay on Delivery,"Thursday, 7 September",-,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg0MDk3ODIzNjIxNjEwOjE2OTM3NTA0MDc6c3BfbXRmOjMwMDAyNzY2OTgxOTkzMjo6MDo6&url=%2FMedellin-Acoustic-Guitar-learning-Strings%2Fdp%2FB0CCNSN9BV%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dguitar%26qid%3D1693750407%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
Brand: Medellin,"Medellin Acoustic Guitar (with guitar learning course) Neon Orange (Combo, Strings,Bag,Picks and guitar course)",5 out of 5,1 rating,"2,499",Pay on Delivery,"Thursday, 7 September",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1NTg0MDk3ODIzNjIxNjEwOjE2OTM3NTA0MDc6c3BfbXRmOjMwMDAyNzY2OTgxOTgzMjo6MDo6&url=%2FMedellin-Acoustic-Guitar-learning-Strings%2Fdp%2FB0CCNSN6S4%2Fref%3Dsr_1_23_sspa%3Fkeywords%3Dguitar%26qid%3D1693750407%26sr%3D8-23-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
